,time,velocity
0,0,0
1,11,0
2,15,4.16666666666667
3,23,4.16666666666667
4,28,0
5,49,0
6,55,4.16666666666667
7,61,8.88888888888889
8,85,8.88888888888889
9,96,0
10,117,0
11,123,4.16666666666667
12,134,9.72222222222222
13,143,13.8888888888889
14,155,13.8888888888889
15,163,9.72222222222222
16,178,9.72222222222222
17,188,0
18,195,0
19,206,0
20,210,4.16666666666667
21,218,4.16666666666667
22,223,0
23,244,0
24,250,4.16666666666667
25,256,8.88888888888889
26,280,8.88888888888889
27,291,0
28,312,0
29,318,4.16666666666667
30,329,9.72222222222222
31,338,13.8888888888889
32,350,13.8888888888889
33,358,9.72222222222222
34,373,9.72222222222222
35,383,0
36,390,0
37,401,0
38,405,4.16666666666667
39,413,4.16666666666667
40,418,0
41,439,0
42,445,4.16666666666667
43,451,8.88888888888889
44,475,8.88888888888889
45,486,0
46,507,0
47,513,4.16666666666667
48,524,9.72222222222222
49,533,13.8888888888889
50,545,13.8888888888889
51,553,9.72222222222222
52,568,9.72222222222222
53,578,0
54,585,0
55,596,0
56,600,4.16666666666667
57,608,4.16666666666667
58,613,0
59,634,0
60,640,4.16666666666667
61,646,8.88888888888889
62,670,8.88888888888889
63,681,0
64,702,0
65,708,4.16666666666667
66,719,9.72222222222222
67,728,13.8888888888889
68,740,13.8888888888889
69,748,9.72222222222222
70,763,9.72222222222222
71,773,0
72,780,0
73,800,0
74,806,4.16666666666667
75,817,9.72222222222222
76,827,13.8888888888889
77,841,19.4444444444444
78,891,19.4444444444444
79,899,13.8888888888889
80,968,13.8888888888889
81,981,19.4444444444444
82,1031,19.4444444444444
83,1066,27.7777777777778
84,1096,27.7777777777778
85,1116,33.3333333333333
86,1126,33.3333333333333
87,1142,22.2222222222222
88,1150,13.8888888888889
89,1160,0
90,1180,0
