v [km/h];a [m/s2];alpha [rad];Ft [N];Tw [Nm];Pt [W];;;
10;0;0;153.136595679012;49.6162570000000;425.379432441701;;;
50;0;0;226.182891975309;73.2832570000000;3141.42905521262;;;
90;0;0;396.624250000000;128.506257000000;9915.60625000000;;;
130;0;0;664.460669753086;215.285257000000;23994.4130744170;;;
50;2.5;0;4476.18289197531;1450.28325700000;62169.2068329904;;;
130;1;0;2364.46066975309;766.085257000000;85383.3019633059;;;
50;0;0.31;5306.49137444747;1719.30320532098;73701.2690895482;;;
130;0;0.07;1830.52995708214;593.091706094612;66102.4706724105;;;
